13/11/2017 22:17:04	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Testcase executed on the Node IP: localhost
13/11/2017 22:17:04	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		***** Dataprovider Iteration No: 1 : *****
13/11/2017 22:17:09	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.id: email' element on '' page
13/11/2017 22:17:09	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Info. Element 'By.id: email' exists on '' page.
13/11/2017 22:17:17	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.xpath: //a[@class='dropdown-toggle']' element on '' page
13/11/2017 22:17:17	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Info. Element 'By.xpath: //a[@class='dropdown-toggle']' exists on '' page.
13/11/2017 22:17:54	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Get text for Broker Name with Lead Count
13/11/2017 22:17:54	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.xpath: //select[@class='brokers_active_dropdown']//option[contains(text(),'Arvind Test')]' element on 'Hashching Admin' page
13/11/2017 22:18:10	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.xpath: //a[@title='Broker Finder']' element on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page
13/11/2017 22:18:10	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Info. Element 'By.xpath: //a[@title='Broker Finder']' exists on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page.
13/11/2017 22:18:22	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.xpath: //h3[contains(text(),'Mortgage Broker Finder')]' element on 'Mortgage broker finder - NSW, VIC, QLD, ACT, TAS, WA, NT' page
13/11/2017 22:18:22	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Info. Element 'By.xpath: //h3[contains(text(),'Mortgage Broker Finder')]' exists on 'Mortgage broker finder - NSW, VIC, QLD, ACT, TAS, WA, NT' page.
13/11/2017 22:19:34	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Get text for Broker Name with Lead Count
13/11/2017 22:19:34	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Successfully find 'By.xpath: //select[@class='brokers_active_dropdown']//option[contains(text(),'Arvind Test')]' element on 'Hashching Admin' page
13/11/2017 22:19:50	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Stopping the class
13/11/2017 22:20:13	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		hello
13/11/2017 22:20:13	INFO 	AutoAssignmentCase2-autoAssignmentCase2_submitLead_autoAssignToBroker_differentPostCode_11		Staring the class
