13/11/2017 20:47:36	INFO 	Global_Log		***** Staring the Suite *****
13/11/2017 20:47:36	INFO 	Global_Log		Staring the class
13/11/2017 20:49:59	INFO 	Global_Log		Stopping the class
13/11/2017 20:50:21	INFO 	Global_Log		Staring the class
13/11/2017 20:51:54	INFO 	Global_Log		Stopping the class
13/11/2017 20:52:16	INFO 	Global_Log		Staring the class
13/11/2017 21:27:51	INFO 	Global_Log		Stopping the class
13/11/2017 21:28:13	INFO 	Global_Log		Staring the class
13/11/2017 21:31:02	INFO 	Global_Log		Stopping the class
13/11/2017 21:31:24	INFO 	Global_Log		Staring the class
13/11/2017 21:33:21	INFO 	Global_Log		Stopping the class
13/11/2017 21:33:43	INFO 	Global_Log		Staring the class
13/11/2017 21:34:32	INFO 	Global_Log		Stopping the class
13/11/2017 21:34:54	INFO 	Global_Log		Staring the class
13/11/2017 21:36:40	INFO 	Global_Log		Stopping the class
13/11/2017 21:37:02	INFO 	Global_Log		Staring the class
13/11/2017 21:38:41	INFO 	Global_Log		Stopping the class
13/11/2017 21:39:03	INFO 	Global_Log		Staring the class
13/11/2017 21:43:26	INFO 	Global_Log		Stopping the class
13/11/2017 21:43:47	INFO 	Global_Log		Staring the class
13/11/2017 21:45:35	INFO 	Global_Log		Stopping the class
13/11/2017 21:45:57	INFO 	Global_Log		Staring the class
13/11/2017 21:47:45	INFO 	Global_Log		Stopping the class
13/11/2017 21:48:07	INFO 	Global_Log		Staring the class
13/11/2017 21:49:58	INFO 	Global_Log		Stopping the class
13/11/2017 21:50:20	INFO 	Global_Log		Staring the class
13/11/2017 21:52:07	INFO 	Global_Log		Stopping the class
13/11/2017 21:52:29	INFO 	Global_Log		Staring the class
13/11/2017 21:54:15	INFO 	Global_Log		Stopping the class
13/11/2017 21:54:37	INFO 	Global_Log		Staring the class
13/11/2017 21:56:18	INFO 	Global_Log		Stopping the class
13/11/2017 21:56:40	INFO 	Global_Log		Staring the class
13/11/2017 21:58:23	INFO 	Global_Log		Stopping the class
13/11/2017 21:58:45	INFO 	Global_Log		Staring the class
13/11/2017 22:00:44	INFO 	Global_Log		Stopping the class
13/11/2017 22:01:06	INFO 	Global_Log		Staring the class
13/11/2017 22:02:50	INFO 	Global_Log		Stopping the class
13/11/2017 22:03:12	INFO 	Global_Log		Staring the class
13/11/2017 22:04:51	INFO 	Global_Log		Stopping the class
13/11/2017 22:05:13	INFO 	Global_Log		Staring the class
13/11/2017 22:06:31	INFO 	Global_Log		Stopping the class
13/11/2017 22:06:53	INFO 	Global_Log		Staring the class
13/11/2017 22:07:58	INFO 	Global_Log		Stopping the class
13/11/2017 22:08:19	INFO 	Global_Log		Staring the class
13/11/2017 22:09:12	INFO 	Global_Log		Stopping the class
13/11/2017 22:09:34	INFO 	Global_Log		Staring the class
13/11/2017 22:10:41	INFO 	Global_Log		Stopping the class
13/11/2017 22:11:03	INFO 	Global_Log		Staring the class
13/11/2017 22:12:50	INFO 	Global_Log		Stopping the class
13/11/2017 22:13:12	INFO 	Global_Log		Staring the class
13/11/2017 22:16:06	INFO 	Global_Log		Stopping the class
13/11/2017 22:16:28	INFO 	Global_Log		Staring the class
13/11/2017 22:19:50	INFO 	Global_Log		Stopping the class
13/11/2017 22:20:13	INFO 	Global_Log		Staring the class
13/11/2017 22:23:04	INFO 	Global_Log		Stopping the class
13/11/2017 22:23:26	INFO 	Global_Log		Staring the class
13/11/2017 22:26:42	INFO 	Global_Log		Stopping the class
13/11/2017 22:27:04	INFO 	Global_Log		Staring the class
13/11/2017 22:30:02	INFO 	Global_Log		Stopping the class
13/11/2017 22:30:24	INFO 	Global_Log		Staring the class
13/11/2017 22:32:40	INFO 	Global_Log		Stopping the class
13/11/2017 22:33:02	INFO 	Global_Log		Staring the class
13/11/2017 22:37:15	INFO 	Global_Log		Stopping the class
13/11/2017 22:37:37	INFO 	Global_Log		Staring the class
13/11/2017 22:40:20	INFO 	Global_Log		Stopping the class
13/11/2017 22:40:42	INFO 	Global_Log		Staring the class
13/11/2017 22:43:26	INFO 	Global_Log		Stopping the class
13/11/2017 22:43:48	INFO 	Global_Log		Staring the class
13/11/2017 22:47:42	INFO 	Global_Log		Stopping the class
13/11/2017 22:48:04	INFO 	Global_Log		Staring the class
13/11/2017 22:51:59	INFO 	Global_Log		Stopping the class
13/11/2017 22:52:21	INFO 	Global_Log		Staring the class
13/11/2017 22:56:16	INFO 	Global_Log		Stopping the class
13/11/2017 22:56:38	INFO 	Global_Log		Staring the class
13/11/2017 23:00:06	INFO 	Global_Log		Stopping the class
13/11/2017 23:00:28	INFO 	Global_Log		Staring the class
13/11/2017 23:02:38	INFO 	Global_Log		Stopping the class
13/11/2017 23:03:00	INFO 	Global_Log		Staring the class
13/11/2017 23:06:44	INFO 	Global_Log		Stopping the class
13/11/2017 23:07:06	INFO 	Global_Log		Staring the class
13/11/2017 23:10:45	INFO 	Global_Log		Stopping the class
13/11/2017 23:11:08	INFO 	Global_Log		Staring the class
13/11/2017 23:14:25	INFO 	Global_Log		Stopping the class
13/11/2017 23:14:47	INFO 	Global_Log		Stopping the Suite
